,key,translation
0,kissoon,24170
1,ripton,21371
2,loose-jointed,90238
3,skins,7531
4,seena,37526
5,yourfat,113108
6,die,48
7,lictors,89671
8,lamb,3908
9,treating,4470
10,chesties,48782
11,lachesis,42073
12,darg,75631
13,'m,13
14,crinkled,25485
15,charge,969
16,eritrea,78745
17,rats,632
18,thread,6715
19,wormcam,29942
20,bells,5999
21,jerk-holery,87327
22,point,507
23,wires,7051
24,cut-purse,75325
25,fruit,3147
26,dominant,15023
27,regiments,32277
28,thunder,4212
29,high-definition,84711
30,could—to,74635
31,advice,1869
32,restore,8589
33,.,4
34,synthetics,61455
35,bulletwill,71604
36,headaches,13681
37,us,43
38,blush,13141
39,vagn,44972
40,statue,4145
41,hovercraft,85481
42,airports,23303
43,codswallop,19475
44,malfunction,14192
45,sh'ma,60139
46,sense,700
47,anbo,46494
48,subdebs,105949
49,prototype,20015
50,wearingthese,63245
51,characters,5369
52,kill,30
53,fachma,51155
54,shields,11694
55,yard,2136
56,blonde,1890
57,malky,31679
58,warmed,10005
59,lecturer,19804
60,...,10
61,dagmar,30679
62,connection,3206
63,membership,14652
64,zeeman,63882
65,innuendo,24102
66,tog,62066
67,wobbles,63509
68,skyler,103968
69,flesh.,80480
70,felonious,30977
71,madonna,7107
72,<bos>,2
73,illegal,2154
74,little,44
75,rapists,6465
76,fortyish,51643
77,fredrickson,81099
78,woods,1391
79,insinuate,22452
80,scully,19062
81,twisted,1205
82,valve,12034
83,threat,2020
84,carescrians,39770
85,archery,23343
86,nastily,36544
87,newspapers,6204
88,haven'thad,84117
89,wargle,38474
90,buk,39648
91,crenshinibon,49469
92,southa,60829
93,pushes,7629
94,re-studied,99978
95,<unk>,0
96,turk,5701
97,metastatic,56063
98,errantly,30916
99,s8,59576
100,sanborn,59692
101,guaran-fucking-teed,83210
102,nervously,12936
103,rememberfeeling,59136
104,wasting,1685
105,suin,106105
106,extras,27994
107,genghis,25791
108,montauban,56391
109,great,228
110,?,6
111,ghostbusters,31118
112,upgrayedd,29804
113,payoff,26344
114,rin,26544
115,nagin,56704
116,jabonies,87078
117,becausejeff,69457
118,terribly,2975
119,vatutin,38392
120,undertones,109800
121,adrenaline-soaked,66670
122,gracie,11883
123,ignoramus,12532
124,tallest,17420
125,unsatisfied,32907
126,greathouse,52415
127,down-sucking,77443
128,conclusion,6365
129,建造那个拉丁人说的攻城机器,113888
130,skaters,22950
131,prudes,37079
132,non-pupils,94496
133,cowbells,74750
134,administered,12380
135,totally,692
136,aviation,39242
137,all-winter,67141
138,obvious,1985
139,nobody,511
140,joyous,13716
141,mcgonagall,28747
142,knocked,1424
143,hell-bent,17067
144,plotting,7627
145,daily,3982
146,underwhelming,62649
147,joss.,87575
148,craved,34313
149,unvivid,110165
150,boy-boy,47961
151,grammar,10993
152,<eos>,3
153,damned-sure,75557
154,kimono,16416
155,1820,38850
156,gâteau,52627
